"trend","number","account","priority","sys_created_on","resolved_at","TTR_seconds","TTR","SLA_Business_Time_seconds","SLA_Business_Time","SLA_Duration_seconds","SLA_Duration","short_description"
"DAD / HL7 / interface messaging","CS1652784","Mid Yorkshire Teaching NHS Trust","4 - Low","19/09/2025 08:57:38","19/09/2025 12:46:51","13753","0 days, 3 hrs, 49 mins","13611.0","3 hrs, 46 mins","13753.0","3 hrs, 49 mins","Remove DOD from Symphony"
"DAD / HL7 / interface messaging","CS1652823","University Hospital Southampton NHS Foundation Trust","3 - Medium","19/09/2025 09:25:50","25/09/2025 09:08:16","517346","5 days, 23 hrs, 42 mins","30602.0","8 hrs, 30 mins","88202.0","1 days, 30 mins","Stuck messages"
"DAD / HL7 / interface messaging","CS1652960","University Hospital Southampton NHS Foundation Trust","2 - High","19/09/2025 10:53:26","19/09/2025 11:09:34","968","0 days, 0 hrs, 16 mins","967.0","16 mins","967.0","16 mins","URGENT Symphony LIVE slow and not allowing to save changes or admit patients"
"DAD / HL7 / interface messaging","CS1654157","Swansea Bay University Health Board","3 - Medium","22/09/2025 15:25:52","04/11/2025 00:14:29","3660517","42 days, 8 hrs, 48 mins","282052.0","3 days, 6 hrs, 20 mins","1185652.0","13 days, 17 hrs, 20 mins","PMI number not being created with new reg's"
"DAD / HL7 / interface messaging","CS1654356","University Hospital Southampton NHS Foundation Trust","1 - Critical","22/09/2025 19:13:39","22/09/2025 19:47:48","2049","0 days, 0 hrs, 34 mins","2049.0","34 mins","2049.0","34 mins","Unable to get onto Symphony Live"
"DAD / HL7 / interface messaging","CS1654372","University Hospital Southampton NHS Foundation Trust","3 - Medium","23/09/2025 04:17:48","23/09/2025 11:57:42","27594","0 days, 7 hrs, 39 mins","10662.0","2 hrs, 57 mins","14095.0","3 hrs, 54 mins","Symphony circling"
"Audit / IG / access investigation","CS1654708","Tallaght University Hospital","4 - Low","23/09/2025 11:40:31","01/10/2025 12:07:45","692834","8 days, 0 hrs, 27 mins","56145.0","15 hrs, 35 mins","116656.0","1 days, 8 hrs, 24 mins","TUH REF 749985 - Reassigning Symphony episode - Failed"
"Audit / IG / access investigation","CS1655041","Isle Of Wight NHS Trust","4 - Low","23/09/2025 15:16:51","",,"","","","","","GP Connect Issue"
"DAD / HL7 / interface messaging","CS1655421","Tallaght University Hospital","4 - Low","24/09/2025 10:25:06","25/09/2025 12:59:27","95661","1 days, 2 hrs, 34 mins","21061.0","5 hrs, 51 mins","78661.0","21 hrs, 51 mins","Merge patient episode"
"DAD / HL7 / interface messaging","CS1655606","Swansea Bay University Health Board","3 - Medium","24/09/2025 12:10:11","26/09/2025 09:52:26","164535","1 days, 21 hrs, 42 mins","49789.0","13 hrs, 49 mins","158496.0","1 days, 20 hrs, 1 mins","EIE queue has locked record"
"Audit / IG / access investigation","CS1655696","Mid Yorkshire Teaching NHS Trust","3 - Medium","24/09/2025 13:08:01","01/10/2025 11:36:03","599282","6 days, 22 hrs, 28 mins","36773.0","10 hrs, 12 mins","151973.0","1 days, 18 hrs, 12 mins","FW: Patient 7793533 "
"DAD / HL7 / interface messaging","CS1656053","Wye Valley NHS Trust","2 - High","24/09/2025 21:13:57","24/09/2025 21:37:23","1406","0 days, 0 hrs, 23 mins","1406.0","23 mins","1406.0","23 mins","Messages not going through"
"DAD / HL7 / interface messaging","CS1656115","University Hospital Southampton NHS Foundation Trust","3 - Medium","25/09/2025 09:13:06","26/09/2025 10:49:31","92185","1 days, 1 hrs, 36 mins","34585.0","9 hrs, 36 mins","92185.0","1 days, 1 hrs, 36 mins","Discharge summaries stuck in the queue - unable to proceed"
"Audit / IG / access investigation","CS1657322","Wye Valley NHS Trust","3 - Medium","26/09/2025 13:14:09","21/10/2025 14:09:48","2163339","25 days, 0 hrs, 55 mins","324038.0","3 days, 18 hrs","1474986.0","17 days, 1 hrs, 43 mins","Missing ED Discharge Reports"
"DAD / HL7 / interface messaging","CS1657842","South Tees Hospitals NHS Foundation Trust","3 - Medium","29/09/2025 09:34:26","29/09/2025 10:31:29","3423","0 days, 0 hrs, 57 mins","3423.0","57 mins","3423.0","57 mins","Restart of Symphony DAD required"
"DAD / HL7 / interface messaging","CS1658283","Swansea Bay University Health Board","3 - Medium","29/09/2025 12:58:02","29/09/2025 14:30:58","5576","0 days, 1 hrs, 32 mins","5576.0","1 hrs, 32 mins","5576.0","1 hrs, 32 mins","DAD outbound messages queueing "
"DAD / HL7 / interface messaging","CS1658305","Wye Valley NHS Trust","3 - Medium","29/09/2025 13:15:07","19/11/2025 12:12:27","4402640","50 days, 22 hrs, 57 mins","345642.0","4 days","1154138.0","13 days, 8 hrs, 35 mins","Two different messaging issues "
"DAD / HL7 / interface messaging","CS1658432","Wye Valley NHS Trust","4 - Low","29/09/2025 14:45:49","27/10/2025 12:28:09","2410940","27 days, 21 hrs, 42 mins","244557.0","2 days, 19 hrs, 55 mins","824667.0","9 days, 13 hrs, 4 mins","NHS 111 patient consultation information not showing when viewing CDA viewer. "
"Audit / IG / access investigation","CS1658677","Health Service Executive","4 - Low","29/09/2025 18:55:47","30/09/2025 11:43:14","60447","0 days, 16 hrs, 47 mins","9794.0","2 hrs, 43 mins","60447.0","16 hrs, 47 mins","Batch print-to-file GP letters for emailing"
"Performance / outage / errors","CS1658691","University Hospital Southampton NHS Foundation Trust","3 - Medium","30/09/2025 02:45:29","30/09/2025 02:57:02","693","0 days, 0 hrs, 11 mins","0.0","","693.0","11 mins","Symphony not loading"
"Performance / outage / errors","CS1658767","Kent Community Health NHS Foundation Trust","4 - Low","30/09/2025 09:02:16","14/10/2025 09:52:16","1212600","14 days, 0 hrs, 50 mins","19225.0","5 hrs, 20 mins","19225.0","5 hrs, 20 mins","Password Reset"
"Audit / IG / access investigation","CS1658937","Betsi Cadwaladr University Healthboard","4 - Low","30/09/2025 10:11:31","03/10/2025 14:12:25","273654","3 days, 4 hrs, 0 mins","100690.0","1 days, 3 hrs, 58 mins","272120.0","3 days, 3 hrs, 35 mins","unable to export from e-audit"
"Audit / IG / access investigation","CS1660862","Betsi Cadwaladr University Healthboard","4 - Low","01/10/2025 13:54:11","06/10/2025 17:14:08","443997","5 days, 3 hrs, 19 mins","72829.0","20 hrs, 13 mins","360829.0","4 days, 4 hrs, 13 mins",".ico files and what they are bound to/ flagged /represent in BCUHB Symph"
"DAD / HL7 / interface messaging","CS1661231","Northern Lincolnshire And Goole NHS Foundation Trust","3 - Medium","01/10/2025 17:00:16","02/10/2025 14:19:22","76746","0 days, 21 hrs, 19 mins","29074.0","8 hrs, 4 mins","30267.0","8 hrs, 24 mins","Check that interface is working"
"DAD / HL7 / interface messaging","CS1661369","Wye Valley NHS Trust","2 - High","02/10/2025 08:58:42","02/10/2025 14:26:58","19696","0 days, 5 hrs, 28 mins","1859.0","30 mins","1859.0","30 mins","DAD Interface"
"DAD / HL7 / interface messaging","CS1661448","University Hospital Southampton NHS Foundation Trust","4 - Low","02/10/2025 09:33:42","03/10/2025 12:31:07","97045","1 days, 2 hrs, 57 mins","25505.0","7 hrs, 5 mins","25505.0","7 hrs, 5 mins","Failed message delivery"
"DAD / HL7 / interface messaging","CS1662446","Wye Valley NHS Trust","3 - Medium","02/10/2025 21:16:07","02/10/2025 21:43:48","1661","0 days, 0 hrs, 27 mins","0.0","","1661.0","27 mins","DAD Interface"
"DAD / HL7 / interface messaging","CS1662576","Health Service Executive","3 - Medium","03/10/2025 09:35:47","03/10/2025 10:16:56","2469","0 days, 0 hrs, 41 mins","2469.0","41 mins","2469.0","41 mins","Naas RIP patient"
"Audit / IG / access investigation","CS1663026","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","4 - Low","03/10/2025 14:22:33","06/10/2025 13:21:03","255510","2 days, 22 hrs, 58 mins","25110.0","6 hrs, 58 mins","255510.0","2 days, 22 hrs, 58 mins","Audit when User last accessed system"
"Audit / IG / access investigation","CS1663128","Bedford Hospital NHS Trust","4 - Low","03/10/2025 15:18:22","03/11/2025 13:50:54","2673152","30 days, 22 hrs, 32 mins","25564.0","7 hrs, 6 mins","25564.0","7 hrs, 6 mins","Luton Symphony UAT - GP Blank "
"Audit / IG / access investigation","CS1663883","Tallaght University Hospital","4 - Low","06/10/2025 11:43:38","08/10/2025 17:06:36","192178","2 days, 5 hrs, 22 mins","76582.0","21 hrs, 16 mins","192178.0","2 days, 5 hrs, 22 mins","ICD10 Codes for ED Discharge diagnosis"
"Audit / IG / access investigation","CS1664213","North West Anglia NHS Foundation Trust","4 - Low","06/10/2025 14:42:14","06/10/2025 17:17:57","9343","0 days, 2 hrs, 35 mins","8266.0","2 hrs, 17 mins","9343.0","2 hrs, 35 mins","New Depts - quick query"
"Audit / IG / access investigation","CS1664380","North West Anglia NHS Foundation Trust","4 - Low","06/10/2025 16:13:27","30/10/2025 10:41:44","2053697","23 days, 18 hrs, 28 mins","457088.0","5 days, 6 hrs, 58 mins","1958288.0","22 days, 15 hrs, 58 mins","Unable to complete many DEPs in Symphony Test"
"DAD / HL7 / interface messaging","CS1665278","Leeds Teaching Hospitals NHS Trust","3 - Medium","07/10/2025 14:15:19","13/10/2025 09:42:59","502060","5 days, 19 hrs, 27 mins","10698.0","2 hrs, 58 mins","10698.0","2 hrs, 58 mins","PDS search to the spine"
"DAD / HL7 / interface messaging","CS1665653","Brighton And Sussex University Hospitals NHS Trust","3 - Medium","08/10/2025 09:12:23","17/10/2025 14:41:47","797364","9 days, 5 hrs, 29 mins","23667.0","6 hrs, 34 mins","23667.0","6 hrs, 34 mins","Missing attendance"
"DAD / HL7 / interface messaging","CS1665974","Swansea Bay University Health Board","3 - Medium","08/10/2025 11:26:54","08/10/2025 13:01:22","5668","0 days, 1 hrs, 34 mins","5668.0","1 hrs, 34 mins","5668.0","1 hrs, 34 mins","DAD outbound MPI messages queueing"
"Audit / IG / access investigation","CS1666316","Children's Health Ireland","4 - Low","08/10/2025 14:33:36","10/10/2025 12:57:27","167031","1 days, 22 hrs, 23 mins","51830.0","14 hrs, 23 mins","167030.0","1 days, 22 hrs, 23 mins","Audit of symphony users accessing patient demographics"
"DAD / HL7 / interface messaging","CS1666513","Children's Health Ireland","4 - Low","08/10/2025 16:52:20","26/11/2025 04:44:29","4189929","48 days, 11 hrs, 52 mins","414646.0","4 days, 19 hrs, 10 mins","1686940.0","19 days, 12 hrs, 35 mins","patient number mix up"
"Audit / IG / access investigation","CS1667215","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","4 - Low","09/10/2025 13:37:15","28/10/2025 02:14:28","1600633","18 days, 12 hrs, 37 mins","79598.0","22 hrs, 6 mins","425198.0","4 days, 22 hrs, 6 mins","Print Template Editor query "
"Audit / IG / access investigation","CS1667460","Northern Lincolnshire And Goole NHS Foundation Trust","4 - Low","09/10/2025 16:34:59","10/10/2025 14:06:39","77500","0 days, 21 hrs, 31 mins","34300.0","9 hrs, 31 mins","77500.0","21 hrs, 31 mins","User ID"
"DAD / HL7 / interface messaging","CS1667469","Mid Yorkshire Teaching NHS Trust","4 - Low","09/10/2025 16:46:36","09/10/2025 17:37:10","3034","0 days, 0 hrs, 50 mins","804.0","13 mins","3034.0","50 mins","Deceased in Error "
"DAD / HL7 / interface messaging","CS1667484","Wye Valley NHS Trust","3 - Medium","09/10/2025 17:10:47","09/10/2025 17:20:40","593","0 days, 0 hrs, 9 mins","0.0","","593.0","9 mins","DAD Restart"
"DAD / HL7 / interface messaging","CS1668253","Wye Valley NHS Trust","2 - High","10/10/2025 21:23:17","10/10/2025 21:54:29","1872","0 days, 0 hrs, 31 mins","1872.0","31 mins","1872.0","31 mins","Trust have called for a dad restart"
"DAD / HL7 / interface messaging","CS1668408","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","2 - High","12/10/2025 11:16:26","12/10/2025 13:25:08","7722","0 days, 2 hrs, 8 mins","7722.0","2 hrs, 8 mins","7722.0","2 hrs, 8 mins","Messages not going to adastra"
"Audit / IG / access investigation","CS1668516","Isle Of Wight NHS Trust","3 - Medium","13/10/2025 08:17:52","04/11/2025 14:16:14","1922302","22 days, 5 hrs, 58 mins","417001.0","4 days, 19 hrs, 50 mins","1518805.0","17 days, 13 hrs, 53 mins","e-Notes"
"Audit / IG / access investigation","CS1668662","Health Service Executive","4 - Low","13/10/2025 09:59:21","07/11/2025 03:54:29","2138108","24 days, 17 hrs, 55 mins","257308.0","2 days, 23 hrs, 28 mins","948508.0","10 days, 23 hrs, 28 mins","issue patient duplicate"
"DAD / HL7 / interface messaging","CS1669729","Swansea Bay University Health Board","3 - Medium","14/10/2025 12:18:38","14/10/2025 18:05:33","20815","0 days, 5 hrs, 46 mins","11198.0","3 hrs, 6 mins","11198.0","3 hrs, 6 mins","DAD outbound messages queued"
"Audit / IG / access investigation","CS1670128","Wye Valley NHS Trust","2 - High","14/10/2025 20:30:53","14/10/2025 20:37:45","412","0 days, 0 hrs, 6 mins","412.0","6 mins","412.0","6 mins","OOH - DAD Restart"
"Audit / IG / access investigation","CS1670198","South Tees Hospitals NHS Foundation Trust","4 - Low","15/10/2025 08:54:28","17/10/2025 13:55:12","190844","2 days, 5 hrs, 0 mins","73840.0","20 hrs, 30 mins","189372.0","2 days, 4 hrs, 36 mins","Access to Patient record"
"DAD / HL7 / interface messaging","CS1670256","South Tees Hospitals NHS Foundation Trust","3 - Medium","15/10/2025 09:25:02","15/10/2025 09:48:58","1436","0 days, 0 hrs, 23 mins","1436.0","23 mins","1436.0","23 mins","EIE feed has gone down"
"Audit / IG / access investigation","CS1670369","Wye Valley NHS Trust","4 - Low","15/10/2025 10:33:09","16/10/2025 14:26:57","100428","1 days, 3 hrs, 53 mins","42828.0","11 hrs, 53 mins","100428.0","1 days, 3 hrs, 53 mins","Access to a patient record"
"DAD / HL7 / interface messaging","CS1670492","South Tees Hospitals NHS Foundation Trust","3 - Medium","15/10/2025 11:42:50","16/10/2025 10:09:58","80828","0 days, 22 hrs, 27 mins","23147.0","6 hrs, 25 mins","80612.0","22 hrs, 23 mins","Postcode lookup has an error"
"Audit / IG / access investigation","CS1670706","North Cumbria Integrated Care NHS Foundation Trust","3 - Medium","15/10/2025 14:17:47","16/10/2025 15:19:35","90108","1 days, 1 hrs, 1 mins","40219.0","11 hrs, 10 mins","83419.0","23 hrs, 10 mins","Flags Issue - Patients displaying with Paediatric & Sepsis flags"
"DAD / HL7 / interface messaging","CS1670967","Wye Valley NHS Trust","2 - High","15/10/2025 18:31:15","15/10/2025 18:41:17","602","0 days, 0 hrs, 10 mins","601.0","10 mins","601.0","10 mins","OOH - DAD restart"
"DAD / HL7 / interface messaging","CS1670987","Wye Valley NHS Trust","2 - High","16/10/2025 07:14:13","16/10/2025 08:32:59","4726","0 days, 1 hrs, 18 mins","4726.0","1 hrs, 18 mins","4726.0","1 hrs, 18 mins","DAD Restart"
"DAD / HL7 / interface messaging","CS1670997","Wye Valley NHS Trust","4 - Low","16/10/2025 08:00:21","16/10/2025 12:46:26","17165","0 days, 4 hrs, 46 mins","0.0","","2149.0","35 mins","TIE interface show messages pending "
"Audit / IG / access investigation","CS1671060","North Cumbria Integrated Care NHS Foundation Trust","2 - High","16/10/2025 09:15:13","16/10/2025 10:05:58","3045","0 days, 0 hrs, 50 mins","3045.0","50 mins","3045.0","50 mins","Issue with flags in Symphony"
"DAD / HL7 / interface messaging","CS1671191","Swansea Bay University Health Board","3 - Medium","16/10/2025 10:20:31","27/10/2025 15:36:38","969367","11 days, 5 hrs, 16 mins","122546.0","1 days, 10 hrs, 2 mins","406946.0","4 days, 17 hrs, 2 mins","DHCW Integration unable to send messages from MPI to SBHB WEDS"
"Audit / IG / access investigation","CS1671291","Leeds Teaching Hospitals NHS Trust","3 - Medium","16/10/2025 11:09:27","05/12/2025 02:44:28","4289701","49 days, 15 hrs, 35 mins","956390.0","11 days, 1 hrs, 39 mins","1820390.0","21 days, 1 hrs, 39 mins","ECDS submission - Looks like our attendance source mappings are not correct. "
"DAD / HL7 / interface messaging","CS1671396","Swansea Bay University Health Board","4 - Low","16/10/2025 12:11:34","17/10/2025 15:13:51","97337","1 days, 3 hrs, 2 mins","41537.0","11 hrs, 32 mins","97337.0","1 days, 3 hrs, 2 mins","Remove DoD"
"DAD / HL7 / interface messaging","CS1671416","Swansea Bay University Health Board","4 - Low","16/10/2025 12:25:16","17/10/2025 15:23:27","97091","1 days, 2 hrs, 58 mins","40813.0","11 hrs, 20 mins","96613.0","1 days, 2 hrs, 50 mins","Add deceased marker"
"Audit / IG / access investigation","CS1672030","Tallaght University Hospital","4 - Low","17/10/2025 10:16:26","20/10/2025 16:51:09","282883","3 days, 6 hrs, 34 mins","52483.0","14 hrs, 34 mins","282883.0","3 days, 6 hrs, 34 mins","Print job 'Triage' folder missing under Print Jobs Adults"
"DAD / HL7 / interface messaging","CS1672331","University Hospital Southampton NHS Foundation Trust","4 - Low","17/10/2025 14:18:52","30/10/2025 15:44:57","1128365","13 days, 1 hrs, 26 mins","196928.0","2 days, 6 hrs, 42 mins","948894.0","10 days, 23 hrs, 34 mins","Symphony Test environment only sending through new Eye Cas attendances into TIE."
"Audit / IG / access investigation","CS1672424","Mid Yorkshire Teaching NHS Trust","4 - Low","17/10/2025 14:55:24","23/10/2025 16:54:26","525542","6 days, 1 hrs, 59 mins","122341.0","1 days, 9 hrs, 59 mins","525541.0","6 days, 1 hrs, 59 mins","Audit request - 7716202"
"Audit / IG / access investigation","CS1674972","Leeds Teaching Hospitals NHS Trust","2 - High","22/10/2025 12:33:52","30/12/2025 02:09:28","5924136","68 days, 13 hrs, 35 mins","2131429.0","24 days, 16 hrs, 3 mins","4208629.0","48 days, 17 hrs, 3 mins","Dead locks on Symphony"
"DAD / HL7 / interface messaging","CS1675378","Isle Of Wight NHS Trust","2 - High","23/10/2025 01:53:57","23/10/2025 01:55:57","120","0 days, 0 hrs, 2 mins","120.0","2 mins","120.0","2 mins","OOH - Symphony message delays"
"Audit / IG / access investigation","CS1675797","Luton And Dunstable Hospital NHS Foundation Trust","4 - Low","23/10/2025 12:32:49","17/02/2026 13:42:14","10112965","117 days, 1 hrs, 9 mins","411637.0","4 days, 18 hrs, 20 mins","890437.0","10 days, 7 hrs, 20 mins","Breaches report"
"Audit / IG / access investigation","CS1676292","Mid Yorkshire Teaching NHS Trust","4 - Low","24/10/2025 09:16:29","24/10/2025 10:43:28","5219","0 days, 1 hrs, 26 mins","3078.0","51 mins","3078.0","51 mins","1458724 - Address update audit"
"Audit / IG / access investigation","CS1676740","Leeds Teaching Hospitals NHS Trust","3 - Medium","24/10/2025 14:57:22","18/11/2025 02:44:28","2116026","24 days, 11 hrs, 47 mins","320693.0","3 days, 17 hrs, 4 mins","623093.0","7 days, 5 hrs, 4 mins","Odd dates on discharge letter"
"Audit / IG / access investigation","CS1677216","Bedford Hospital NHS Trust","4 - Low","27/10/2025 08:55:33","29/10/2025 11:23:38","181685","2 days, 2 hrs, 28 mins","42921.0","11 hrs, 55 mins","100788.0","1 days, 3 hrs, 59 mins","Audit request"
"Audit / IG / access investigation","CS1677275","South Tees Hospitals NHS Foundation Trust","3 - Medium","27/10/2025 09:22:24","27/10/2025 10:45:13","4969","0 days, 1 hrs, 22 mins","1448.0","24 mins","1448.0","24 mins","Patient Audit - J251591"
"Audit / IG / access investigation","CS1677421","Aneurin Bevan University Healthboard","3 - Medium","27/10/2025 10:38:58","28/10/2025 13:22:09","96191","1 days, 2 hrs, 43 mins","11791.0","3 hrs, 16 mins","11791.0","3 hrs, 16 mins","Reporting on pregnant ladies who are requested an x-ray"
"DAD / HL7 / interface messaging","CS1677810","Swansea Bay University Health Board","3 - Medium","27/10/2025 15:47:38","28/10/2025 12:17:44","73806","0 days, 20 hrs, 30 mins","18006.0","5 hrs","73806.0","20 hrs, 30 mins","DAD outbound queue messages building"
"Audit / IG / access investigation","CS1678543","Swansea Bay University Health Board","3 - Medium","28/10/2025 15:35:58","28/10/2025 17:37:40","7302","0 days, 2 hrs, 1 mins","5797.0","1 hrs, 36 mins","6257.0","1 hrs, 44 mins","Clinic slot locked"
"DAD / HL7 / interface messaging","CS1678622","Mid Yorkshire Teaching NHS Trust","4 - Low","28/10/2025 16:59:15","29/10/2025 12:17:06","69471","0 days, 19 hrs, 17 mins","11871.0","3 hrs, 17 mins","69471.0","19 hrs, 17 mins","Remove RIP on Symphony"
"DAD / HL7 / interface messaging","CS1678683","Isle Of Wight NHS Trust","2 - High","29/10/2025 08:21:31","29/10/2025 14:17:52","21381","0 days, 5 hrs, 56 mins","4928.0","1 hrs, 22 mins","4928.0","1 hrs, 22 mins","Interface appeared to have stopped"
"DAD / HL7 / interface messaging","CS1679586","Wye Valley NHS Trust","3 - Medium","30/10/2025 06:40:54","30/10/2025 08:49:29","7715","0 days, 2 hrs, 8 mins","0.0","","5444.0","1 hrs, 30 mins","Restart DAD"
"Audit / IG / access investigation","CS1680292","Northern Lincolnshire And Goole NHS Foundation Trust","3 - Medium","31/10/2025 08:59:41","31/10/2025 14:57:42","21481","0 days, 5 hrs, 58 mins","14302.0","3 hrs, 58 mins","14302.0","3 hrs, 58 mins","WebServer Issuesa"
"DAD / HL7 / interface messaging","CS1680703","Wye Valley NHS Trust","4 - Low","31/10/2025 14:25:00","07/11/2025 11:51:54","595614","6 days, 21 hrs, 26 mins","54378.0","15 hrs, 6 mins","342378.0","3 days, 23 hrs, 6 mins","Incorrect  hospital number on Symphony documentation"
"DAD / HL7 / interface messaging","CS1680999","Health Service Executive","4 - Low","03/11/2025 09:23:45","17/11/2025 15:19:56","1230971","14 days, 5 hrs, 56 mins","127470.0","1 days, 11 hrs, 24 mins","300270.0","3 days, 11 hrs, 24 mins","Staff member"
"Audit / IG / access investigation","CS1681361","Aneurin Bevan University Healthboard","3 - Medium","03/11/2025 12:46:14","14/11/2025 16:56:42","965428","11 days, 4 hrs, 10 mins","64325.0","17 hrs, 52 mins","179525.0","2 days, 1 hrs, 52 mins","Dr unable to request radiology or assign self to patient"
"Audit / IG / access investigation","CS1681495","Aneurin Bevan University Healthboard","4 - Low","03/11/2025 14:18:41","06/11/2025 17:05:55","269234","3 days, 2 hrs, 47 mins","70265.0","19 hrs, 31 mins","185820.0","2 days, 3 hrs, 37 mins","CEAU caregroup"
"Audit / IG / access investigation","CS1681867","South Tees Hospitals NHS Foundation Trust","3 - Medium","04/11/2025 09:32:13","05/11/2025 12:52:55","98442","1 days, 3 hrs, 20 mins","21690.0","6 hrs, 1 mins","21690.0","6 hrs, 1 mins","Audit of Patient record access"
"Audit / IG / access investigation","CS1682503","Leeds Teaching Hospitals NHS Trust","3 - Medium","04/11/2025 15:49:54","26/11/2025 12:46:45","1889811","21 days, 20 hrs, 56 mins","382223.0","4 days, 10 hrs, 10 mins","771023.0","8 days, 22 hrs, 10 mins","Wristband Printer Stability / Performance Improvement"
"Audit / IG / access investigation","CS1682567","Tallaght University Hospital","3 - Medium","04/11/2025 16:47:56","05/11/2025 09:20:49","59573","0 days, 16 hrs, 32 mins","1973.0","32 mins","59573.0","16 hrs, 32 mins","Escalation re CS1645063 and CS1681125"
"Audit / IG / access investigation","CS1682637","Health Service Executive","3 - Medium","05/11/2025 08:19:30","12/11/2025 13:00:52","621682","7 days, 4 hrs, 41 mins","46147.0","12 hrs, 49 mins","104523.0","1 days, 5 hrs, 2 mins","Symphony not opening for some users"
"Audit / IG / access investigation","CS1683601","Luton And Dunstable Hospital NHS Foundation Trust","4 - Low","06/11/2025 10:07:26","31/12/2025 03:49:28","4729322","54 days, 17 hrs, 42 mins","1111160.0","12 days, 20 hrs, 39 mins","2234360.0","25 days, 20 hrs, 39 mins","Symphony Test Environment: GP data "
"Audit / IG / access investigation","CS1683616","Wye Valley NHS Trust","4 - Low","06/11/2025 10:12:49","07/11/2025 15:14:56","104527","1 days, 5 hrs, 2 mins","12927.0","3 hrs, 35 mins","12927.0","3 hrs, 35 mins","Symphony NHS 111 Test system not communicating with Maxims "
"Audit / IG / access investigation","CS1683876","Leeds Teaching Hospitals NHS Trust","3 - Medium","06/11/2025 12:47:13","06/11/2025 18:05:06","19073","0 days, 5 hrs, 17 mins","19073.0","5 hrs, 17 mins","19073.0","5 hrs, 17 mins","Audit of staff "
"DAD / HL7 / interface messaging","CS1683997","Gibraltar Health Authority (GHA)","2 - High","06/11/2025 14:24:22","06/11/2025 16:53:21","8939","0 days, 2 hrs, 28 mins","6889.0","1 hrs, 54 mins","6889.0","1 hrs, 54 mins","HL 7 updates not reaching Symphony"
"Audit / IG / access investigation","CS1684555","Mid Yorkshire Teaching NHS Trust","3 - Medium","07/11/2025 11:22:50","07/11/2025 16:37:34","18884","0 days, 5 hrs, 14 mins","18884.0","5 hrs, 14 mins","18884.0","5 hrs, 14 mins","FW: IG breach"
"DAD / HL7 / interface messaging","CS1685103","Wye Valley NHS Trust","2 - High","08/11/2025 19:23:02","09/11/2025 04:04:46","31304","0 days, 8 hrs, 41 mins","692.0","11 mins","692.0","11 mins","Called and asked for dad restart"
"DAD / HL7 / interface messaging","CS1685104","Health Service Executive","2 - High","09/11/2025 03:48:24","09/11/2025 04:03:46","922","0 days, 0 hrs, 15 mins","922.0","15 mins","922.0","15 mins","messages not going to maxims"
"Audit / IG / access investigation","CS1685133","Doncaster and Bassetlaw Teaching Hospitals NHS Foundation Trust","3 - Medium","10/11/2025 08:09:46","10/11/2025 11:16:49","11223","0 days, 3 hrs, 7 mins","4683.0","1 hrs, 18 mins","7697.0","2 hrs, 8 mins","Can't access DEP config Test"
"Audit / IG / access investigation","CS1685775","North West Anglia NHS Foundation Trust","4 - Low","10/11/2025 15:32:22","12/11/2025 13:15:22","164580","1 days, 21 hrs, 43 mins","12579.0","3 hrs, 29 mins","13356.0","3 hrs, 42 mins","Audit 25-21"
"Audit / IG / access investigation","CS1686145","South Tees Hospitals NHS Foundation Trust","4 - Low","11/11/2025 10:20:02","12/11/2025 13:29:16","97754","1 days, 3 hrs, 9 mins","39449.0","10 hrs, 57 mins","97049.0","1 days, 2 hrs, 57 mins","Patient Access Audit"
"Audit / IG / access investigation","CS1686934","Western Health and Social Care Trust","4 - Low","12/11/2025 09:52:25","17/11/2025 12:58:10","443145","5 days, 3 hrs, 5 mins","74367.0","20 hrs, 39 mins","117567.0","1 days, 8 hrs, 39 mins","Staff audit"
"Audit / IG / access investigation","CS1687265","Mid Yorkshire Teaching NHS Trust","4 - Low","12/11/2025 12:44:21","19/11/2025 17:30:06","621945","7 days, 4 hrs, 45 mins","152483.0","1 days, 18 hrs, 21 mins","614693.0","7 days, 2 hrs, 44 mins","FW: Audit J RIce"
"Performance / outage / errors","CS1687643","Betsi Cadwaladr University Healthboard","3 - Medium","13/11/2025 06:06:03","17/11/2025 14:44:44","376721","4 days, 8 hrs, 38 mins","68141.0","18 hrs, 55 mins","127882.0","1 days, 11 hrs, 31 mins","Symphony Down - all terminals"
"DAD / HL7 / interface messaging","CS1687646","Wye Valley NHS Trust","2 - High","13/11/2025 06:33:24","13/11/2025 08:21:20","6476","0 days, 1 hrs, 47 mins","6475.0","1 hrs, 47 mins","6475.0","1 hrs, 47 mins","Symphony Comm Point Down"
"Audit / IG / access investigation","CS1687713","Leeds Teaching Hospitals NHS Trust","4 - Low","13/11/2025 09:14:06","09/12/2025 03:49:29","2226923","25 days, 18 hrs, 35 mins","522760.0","6 days, 1 hrs, 12 mins","1041160.0","12 days, 1 hrs, 12 mins","ECDS further details "
"Audit / IG / access investigation","CS1687790","North Cumbria Integrated Care NHS Foundation Trust","3 - Medium","13/11/2025 10:08:44","13/11/2025 13:46:40","13076","0 days, 3 hrs, 37 mins","13076.0","3 hrs, 37 mins","13076.0","3 hrs, 37 mins","Script to reinstate deleted accounts"
